entry_ts,exit_ts,side,entry_price,exit_price,return_pct
1678406400000,1678752000000,long,27617802.0,31660162.0,0.145222
1692316800000,1695168000000,long,36606294.0,36490746.0,-0.004153
1714608000000,1715990400000,long,83540750.0,92585684.0,0.107162
1719273600000,1721088000000,long,85537748.0,91116419.0,0.064154
1722902400000,1726704000000,long,77824893.0,82561698.0,0.059804
1740441600000,1740787200000,long,132201068.0,128320000.0,-0.030328
