ts,equity
1725235200000,10000000.0
1725321600000,10000000.0
1725408000000,10000000.0
1725494400000,10000000.0
1725580800000,10000000.0
1725667200000,10000000.0
1725753600000,10000000.0
1725840000000,10000000.0
1725926400000,10000000.0
1726012800000,10000000.0
1726099200000,10000000.0
1726185600000,10000000.0
1726272000000,10000000.0
1726358400000,10000000.0
1726444800000,10000000.0
1726531200000,10000000.0
1726617600000,10000000.0
1726704000000,10000000.0
1726790400000,10000000.0
1726876800000,10000000.0
1726963200000,10000000.0
1727049600000,10000000.0
1727136000000,10000000.0
1727222400000,10000000.0
1727308800000,10000000.0
1727395200000,10000000.0
1727481600000,10000000.0
1727568000000,10000000.0
1727654400000,10000000.0
1727740800000,10000000.0
1727827200000,10000000.0
1727913600000,10000000.0
1728000000000,10000000.0
1728086400000,10000000.0
1728172800000,10000000.0
1728259200000,10000000.0
1728345600000,10000000.0
1728432000000,10000000.0
1728518400000,10000000.0
1728604800000,10000000.0
1728691200000,10000000.0
1728777600000,10000000.0
1728864000000,10000000.0
1728950400000,10000000.0
1729036800000,10000000.0
1729123200000,10000000.0
1729209600000,10000000.0
1729296000000,10000000.0
1729382400000,10000000.0
1729468800000,10000000.0
1729555200000,10000000.0
1729641600000,10000000.0
1729728000000,10000000.0
1729814400000,10000000.0
1729900800000,10000000.0
1729987200000,10000000.0
1730073600000,10000000.0
1730160000000,10000000.0
1730246400000,10000000.0
1730332800000,9745745.0
1730419200000,9663597.0
1730505600000,9655651.0
1730592000000,9524333.0
1730678400000,9365996.0
1730764800000,9552841.0
1730851200000,10339061.0
1730937600000,10342041.0
1731024000000,10613021.0
1731110400000,10558487.0
1731196800000,11069654.0
1731283200000,12367239.0
1731369600000,12413329.0
1731456000000,12725632.0
1731542400000,12274760.0
1731628800000,12738049.0
1731715200000,12622326.0
1731801600000,12562825.0
1731888000000,12629378.0
1731974400000,12885459.0
1732060800000,13229150.0
1732147200000,13613568.0
1732233600000,13596582.0
1732320000000,13509269.0
1732406400000,13518805.0
1732492800000,12892511.0
1732579200000,12792384.0
1732665600000,13211171.0
1732752000000,13224978.0
1732838400000,13364442.0
1732924800000,13280903.0
1733011200000,13290935.0
1733097600000,13264413.0
1733184000000,13280803.0
1733270400000,13783428.0
1733356800000,13658367.0
1733443200000,13841041.0
1733529600000,13803294.0
1733616000000,14006430.0
1733702400000,13793758.0
1733788800000,13728298.0
1733875200000,14215625.0
1733961600000,14180461.0
1734048000000,14343864.0
1734134400000,14495346.0
1734220800000,14824734.0
1734307200000,15237959.0
1734393600000,15418744.0
1734480000000,14676827.0
1734566400000,14649014.0
1734652800000,14714971.0
1734739200000,14684377.0
1734825600000,14383398.0
1734912000000,14194765.0
1734998400000,14585143.0
1735084800000,14709309.0
1735171200000,14311481.0
1735257600000,14116292.0
1735344000000,14135265.0
1735430400000,13880277.0
1735516800000,13697207.0
1735603200000,13832796.0
1735689600000,14037720.0
1735776000000,14288833.0
1735862400000,14368995.0
1735948800000,14377935.0
1736035200000,14373465.0
1736121600000,14926153.0
1736208000000,14382305.0
1736294400000,14141821.0
1736380800000,13880774.0
1736467200000,14150661.0
1736553600000,14082519.0
1736640000000,14113809.0
1736726400000,14115994.0
1736812800000,14254365.0
1736899200000,14632624.0
1736985600000,14569150.0
1737072000000,15132864.0
1737158400000,15476159.0
1737244800000,15297260.0
1737331200000,15220277.0
1737417600000,15651978.0
1737504000000,15396494.0
1737590400000,15407718.0
1737676800000,15609762.0
1737763200000,15615125.0
1737849600000,15505859.0
1737936000000,15388547.0
1738022400000,15487880.0
1738108800000,15779919.0
1738195200000,15708399.0
1738281600000,15553539.0
1738368000000,15628039.0
1738454400000,15297260.0
1738540800000,15716147.0
1738627200000,15309379.0
1738713600000,15043962.0
1738800000000,15034624.0
1738886400000,14860295.0
1738972800000,14781027.0
1739059200000,14659444.0
1739145600000,14647071.0
1739232000000,14647071.0
1739318400000,14647071.0
1739404800000,14647071.0
1739491200000,14647071.0
1739577600000,14647071.0
1739664000000,14647071.0
1739750400000,14647071.0
1739836800000,14647071.0
1739923200000,14647071.0
1740009600000,14647071.0
1740096000000,14647071.0
1740182400000,14647071.0
1740268800000,14647071.0
1740355200000,14647071.0
1740441600000,14647071.0
1740528000000,14647071.0
1740614400000,14647071.0
1740700800000,14647071.0
1740787200000,14647071.0
1740873600000,14647071.0
1740960000000,14647071.0
1741046400000,14647071.0
1741132800000,14647071.0
1741219200000,14647071.0
1741305600000,14647071.0
1741392000000,14647071.0
1741478400000,14647071.0
1741564800000,14647071.0
1741651200000,14647071.0
1741737600000,14647071.0
1741824000000,14647071.0
1741910400000,14647071.0
1741996800000,14647071.0
1742083200000,14647071.0
1742169600000,14647071.0
1742256000000,14647071.0
1742342400000,14647071.0
1742428800000,14647071.0
1742515200000,14647071.0
1742601600000,14647071.0
1742688000000,14647071.0
1742774400000,14647071.0
1742860800000,14647071.0
1742947200000,14647071.0
1743033600000,14647071.0
1743120000000,14647071.0
1743206400000,14647071.0
1743292800000,14647071.0
1743379200000,14647071.0
1743465600000,14647071.0
1743552000000,14647071.0
1743638400000,14647071.0
1743724800000,14647071.0
1743811200000,14647071.0
1743897600000,14647071.0
1743984000000,14647071.0
1744070400000,14647071.0
1744156800000,14647071.0
1744243200000,14647071.0
1744329600000,14647071.0
1744416000000,14647071.0
1744502400000,14647071.0
1744588800000,14647071.0
1744675200000,14647071.0
1744761600000,14647071.0
1744848000000,14647071.0
1744934400000,14647071.0
1745020800000,14647071.0
1745107200000,14647071.0
1745193600000,14647071.0
1745280000000,14647071.0
1745366400000,14647071.0
1745452800000,14647071.0
1745539200000,14647071.0
1745625600000,14647071.0
1745712000000,14647071.0
1745798400000,14811710.0
1745884800000,14756930.0
1745971200000,14728782.0
1746057600000,15063847.0
1746144000000,15008743.0
